sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,rejection_counts,reject_bigmove_prob,reject_probability,reject_score_margin,reject_tod_profile,reject_expected_r,reject_risk_budget,reject_capacity,reject_other,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_trades,metric_win_rate,metric_avg_R,metric_total_pnl,metric_fees_total,param_bigmove_policy.probability_threshold,param_prob_threshold_long,param_prob_threshold_short,param_score_margin,param_max_open_positions_global
347,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.65,0.7,0.01,5
348,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.65,0.7,0.02,2
349,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.65,0.7,0.02,3
350,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.65,0.7,0.02,5
351,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.65,0.75,0.0,2
352,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.65,0.75,0.0,3
353,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.65,0.75,0.0,5
354,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.65,0.75,0.01,2
355,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.65,0.75,0.01,3
356,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.65,0.75,0.01,5
357,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.65,0.75,0.02,2
358,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.65,0.75,0.02,3
359,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.65,0.75,0.02,5
360,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.6,0.0,2
361,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.6,0.0,3
362,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.6,0.0,5
363,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.6,0.01,2
364,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.6,0.01,3
365,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.6,0.01,5
366,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.6,0.02,2
367,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.6,0.02,3
368,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.6,0.02,5
369,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.65,0.0,2
370,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.65,0.0,3
371,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.65,0.0,5
372,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.65,0.01,2
373,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.65,0.01,3
374,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.65,0.01,5
375,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.65,0.02,2
376,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.65,0.02,3
377,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.65,0.02,5
378,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.7,0.0,2
379,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.7,0.0,3
380,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.7,0.0,5
381,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.7,0.01,2
382,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.7,0.01,3
383,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.7,0.01,5
384,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.7,0.02,2
385,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.7,0.02,3
386,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.7,0.02,5
387,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.75,0.0,2
388,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.75,0.0,3
389,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.75,0.0,5
390,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.75,0.01,2
391,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.75,0.01,3
392,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.75,0.01,5
393,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 14683, 'probability': 1404, 'score_margin': 522, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 782, 'capacity': 79, 'other': 0}",14683,1404,522,502,0,782,79,0,-3.0410671343794604e-05,-0.0003482850486272726,0.0002850322722705435,-71.38940754509838,-0.00012191967648836632,819,11.5,0.0,0.5,20,20,0.45,1.431966865452085,28.6393373090417,11.5,0.75,0.7,0.75,0.02,2
394,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15347, 'probability': 1449, 'score_margin': 538, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 2, 'capacity': 124, 'other': 0}",15347,1449,538,507,0,2,124,0,-3.0400675369857133e-05,-0.0003481705856809292,0.00032606879619639885,-62.40453187499963,-8.652824679467042e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,1.9545286063792922,37.13604352120655,12.5,0.75,0.7,0.75,0.02,3
395,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 14672, 'probability': 1321, 'score_margin': 501, 'tod_profile': 508, 'expected_r': 0, 'risk_budget': 796, 'capacity': 168, 'other': 0}",14672,1321,501,508,0,796,168,0,-3.0195574360236677e-05,-0.00034582199089727705,0.000252640702888886,-80.53263689598577,-9.569815383514424e-05,826,12.5,0.0,0.5,16,16,0.5625,3.2263220879663326,51.62115340746132,12.5,0.75,0.7,0.75,0.02,5
